,Team,Off Turnovers,Passing Yards,Rushing Yards,Def Turnovers,Passing Yards All,Rushing Yards All,QBR
32,Arizona Cardinals,28,2523,1342,17,3853,2249,24.1
10,Atlanta Falcons,18,4653,1573,26,3805,1630,65.7
13,Baltimore Ravens,20,3558,2441,28,3929,1913,54.8
30,Buffalo Bills,32,2794,1984,18,4414,2204,49.8
15,Carolina Panthers,22,3836,2136,26,3794,1860,53.2
9,Chicago Bears,24,3564,1938,20,3140,1815,71
17,Cincinnati Bengals,17,3290,1682,15,3697,1538,59.4
20,Cleveland Browns,24,4007,1893,30,3780,1957,51.2
22,Dallas Cowboys,17,3538,1963,15,3752,1918,55.2
24,Denver Broncos,21,3695,1907,27,4374,2114,44.5
25,Detroit Lions,19,3576,1660,19,4153,1999,51.3
14,Green Bay Packers,15,4238,1667,24,4302,1283,58
11,Houston Texans,16,3781,2021,26,3842,1811,61.8
5,Indianapolis Colts,24,4461,1718,17,3113,1870,69.6
31,Jacksonville Jaguars,29,3109,1723,17,4151,1983,43.4
1,Kansas City Chiefs,18,4955,1855,36,3515,1280,80.3
7,Los Angeles Chargers,19,4089,1873,28,3943,1803,67.8
2,Los Angeles Rams,19,4507,2231,17,3360,1327,63.6
26,Miami Dolphins,23,2900,1738,16,3262,2479,46.5
19,Minnesota Vikings,20,4036,1493,23,3847,1804,33.2
4,New England Patriots,18,4258,2037,29,4167,1323,59.5
3,New Orleans Saints,16,4042,2025,17,3471,1863,68.4
16,New York Giants,19,4047,1650,14,3599,1761,79.2
23,New York Jets,30,3165,1622,21,4044,1898,49.1
28,Oakland Raiders,24,3751,1628,7,3732,1814,45.9
18,Philadelphia Eagles,23,4275,1570,27,2867,1839,62
8,Pittsburgh Steelers,26,5008,1445,20,3646,1693,69.6
21,San Francisco 49ers,32,3867,1902,31,4125,2163,51.7
6,Seattle Seahawks,11,3093,2560,20,3755,1513,63.3
12,Tampa Bay Buccaneers,35,5125,1523,17,4308,1551,66.2
27,Tennessee Titans,18,2975,2027,28,3932,2325,53.2
29,Washington Redskins,19,3021,1774,20,4065,2021,46.9
